Student ID,Country
7158708,India
4794535,United States
5333266,Greece
5333260,United States
3646976,Nigeria
6012388,Malawi
6965700,United Kingdom
2618759,France
2491480,India
8588002,India
9590562,Nigeria
3026626,France
9727506,United States
2450539,France
7926276,Germany
11545,Colombia
4154186,India
4691297,India
3414802,Canada
8318833,United States
2149091,United States,United States,United States
9573741,United States,United States
9792590,United States
3730409,Germany
6230330,Pakistan
439011,France
9446012,Malaysia,Malaysia
4281462,United States,United States,United States,United States
19394,Israel,Israel
2372867,United Kingdom
3724926,Anonymous Proxy
2413653,Mexico
1458700,United Kingdom
4006454,Indonesia,Indonesia
7991334,Canada
1800604,Colombia
4188254,India
5178991,Germany,Germany
6957452,Ukraine
2434373,India
6842359,Croatia
4424922,United States
6211861,Australia
3608671,United States
2294793,Australia
4424925,United States
498604,Greece
1897948,Costa Rica
8812127,Chile
4048309,Canada
1245493,Ghana
6620438,United States
7821899,Nepal
4231012,Egypt
3429813,United States,United States,United States,United States
1871989,United States
7225769,Spain,Spain
6362116,United States
2750945,United States
9037248,Greece
2062491,India,India,United States
3731465,Germany
7753518,United Kingdom
4130825,Nigeria
5152832,Costa Rica
4427697,United States
4361276,United States
353407,India
1649502,Nigeria
9369338,United Kingdom
7075301,United States
2716394,United States,United States
2990521,Brazil
177640,Egypt,Egypt
8444423,France
6697125,Saudi Arabia
5310024,France
1788073,United States
8522410,Pakistan
6723692,Russian Federation,Russian Federation,Russian Federation
4082615,United Kingdom
3116770,Canada
6476297,Philippines
6257166,United Kingdom
3452112,Egypt,Egypt
8299766,India
5206683,Egypt,Egypt
5581280,Bosnia And Herzegovina
3245731,Canada
2012600,India
4817368,United States
4202880,Algeria
1302593,"Taiwan, Province Of China"
762279,"Bolivia, Plurinational State Of"
1199078,United Kingdom
7444810,Mexico
1697497,India
9536180,United States
7638133,India,India
7680078,Ukraine,Ukraine
7455061,Pakistan,Pakistan
6766666,United States
1762510,United States
7880828,Philippines
1132501,Indonesia
5957031,India
7317368,Colombia
2662349,India
132270,Nigeria
6541500,United States
2146041,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
5433505,United States
9333706,United Kingdom
6910695,Pakistan
4342765,Germany
969328,Ukraine
1435204,Trinidad And Tobago
5582390,United States
1185924,Brazil
586377,United States,United States,United States
1909056,Egypt
4167186,Turkey,Turkey
8134734,United States,United States,United States
2522768,Australia,Australia
9832465,Dominican Republic
4097296,United States
6279190,Ghana
6099601,Brazil
3102543,France
5543004,Canada,Canada
6136459,India
9879031,United States
9909711,United States
4696215,United Kingdom
3300763,China
6509298,United States
279563,Brazil
5334979,Poland
5529250,United States
6745317,Brazil
9976514,Tunisia
6925972,Russian Federation
9262893,Brazil
8992920,United States
8942888,Nigeria
554370,Russian Federation
4657075,Indonesia
8214768,Canada
7675112,United States
8985268,Austria
1383118,Uruguay
5284056,Italy
7870236,India
8821166,Mexico
1233191,Germany
2597979,Belgium
7142134,United States,United States
5044944,Italy
3942879,Ireland
1028329,United States
9090420,Germany
5718141,Colombia,Colombia
2142977,Canada
168087,Greece
6082459,India
7864143,United States
5944175,Greece
3569877,Japan
5232914,New Zealand,New Zealand,New Zealand
3084471,Russian Federation
9357081,United States
2801553,Czech Republic
7245658,India
7120286,India
7220842,Brazil
7011655,India
650496,United States
9077399,Brazil
58077,Colombia
9471811,India
5145920,Spain
1372879,Malaysia
2298798,Colombia
2229342,United States
5072137,Indonesia
9839721,Peru,Peru
2368926,India
1696722,Bosnia And Herzegovina
9429472,India
9264744,South Africa,South Africa
9761919,India
4539322,United States
9683438,Switzerland,Switzerland
8209202,China
7013663,India
1959014,Qatar
2784034,India,India
7052801,United States
9496882,"Iran, Islamic Republic Of"
9683430,Sweden
3192662,United Kingdom
4474661,Ukraine
3101016,United Kingdom
2029544,India
7707552,India
2087823,Finland
2634928,Egypt
7726584,India
5929856,United States,United States
269812,Switzerland
5815474,Dominican Republic
9131423,Yemen
8853941,India
8539900,Mexico
6598137,Mexico
2290408,India
9494485,United States
1634362,Ethiopia,Ethiopia
4670357,United States
6598139,Spain
9241116,India
8963685,Brazil
948446,Morocco
7674646,Poland
6542367,Chile
6196266,Thailand
9775960,Brazil
1502208,United States
268142,Ireland
4325126,Anonymous Proxy
8723827,Japan
6821548,Serbia
2980108,Ukraine
710047,Australia
8023012,United Kingdom
8071571,Nigeria
2920740,United States
1263094,Uganda,Uganda
5796383,Nigeria
939268,United States
4609323,Bulgaria
931070,South Africa
5799570,Canada
6107178,Netherlands
4374862,United Kingdom
2550225,United States
6912997,United States
7120829,Pakistan
4780074,United States
3577500,Viet Nam
1121332,United States
2773428,France
8762058,United States
3053947,India
8351870,United States
3233714,United States
452892,United Kingdom
7728353,United States,United States
5859622,Brazil
2675033,Kyrgyzstan
7988756,United States
8451615,India
9098493,Italy,Italy
4899879,Australia,Australia
3282072,Morocco
1344781,India
6569967,India
9786804,Mexico,Mexico
129188,Russian Federation,Russian Federation
2410968,"Taiwan, Province Of China"
7886802,United States,United States
2294070,United States
4892732,Canada,Canada
8758510,United States
6646605,United States,United States
1141410,Turkey
9668013,India
5555285,United States
2287324,Portugal,Portugal
3277187,United States
4945651,Chile
3777148,United States
8314743,Lebanon
5189860,Sudan,Sudan,Sudan
4192938,Germany,Germany
7706687,United States
3443802,Spain,Spain
6812716,Slovenia
339885,United States
4678095,Argentina
879809,Ethiopia
2691207,Brazil
4711823,Australia
1877910,Nigeria
3211669,United States
97939,Egypt,Egypt
8570941,Australia
9142256,Bhutan
9509620,Saudi Arabia
8842505,United States
2036637,United States,United States
4296564,United States
3253215,Portugal
5838581,United States
6028740,Peru
381185,Brazil
495341,Ethiopia,Ethiopia,Sweden,Sweden
3193203,Kyrgyzstan
9981656,United States,United States
2750113,India,India
7943183,Greece,Greece
4360842,India
5160000,United States
3613677,Mexico
4407423,India
4998233,United Kingdom
2789315,United States
4213172,France
1384463,United States
7741390,United States
1720529,United States,United States,United States
7472669,United States
4649133,United States
5243524,Canada,Canada,Canada
7943377,India
5447308,Brazil
4109529,Canada
7963305,Maldives
3441404,United States
4963681,Brazil
3884574,Pakistan
4775272,United States
7779265,United Kingdom
8751135,Peru
1186523,Italy
3988865,Mexico
6860837,United States
4474789,United States
4409731,Mexico
3139527,"Macedonia, The Former Yugoslav Republic Of"
3598502,India
8138081,India
3005943,United States
666260,Brazil
9900743,Ethiopia
2679880,Greece
1946667,Egypt,Egypt
8867895,United States
6409751,France,France
8321324,United States
4154703,Saudi Arabia
1384829,New Zealand,New Zealand,New Zealand
8642890,Philippines
4020646,Canada
7125087,Indonesia
3086540,United Kingdom
258490,India
7352838,United States
7633026,United States
7613436,India
7352833,Pakistan
9310665,Morocco
3283308,United States
145436,India
9949708,United States,United States
4290192,United States
6169150,United Kingdom
3868412,Mexico
3479655,Mexico
9988496,India
2350217,India
8545095,Malaysia
7421296,United States
5219067,Germany
2545568,United States
7443944,United States
2814174,Hong Kong
777670,Senegal
7819137,Greece
6339224,United States,United States,United States
1119478,Germany
6659231,United States
7079196,United States
4942388,United States
1903614,United States
1853565,United States
2640888,United States
1602013,Poland
5923449,United States
4075391,India
1075682,United States
275947,United States
6144169,United Kingdom
420104,United States
1743930,India
1015522,Bangladesh
3433774,Bangladesh,Bangladesh
4297215,Mexico
1878446,Russian Federation,Russian Federation,Russian Federation
1689264,United States
5939133,Gambia
1875878,Jordan,Jordan
9752053,United States
5959329,United States
9752051,China
424484,United States
3100680,Norway
3380897,Saint Lucia
6024154,Egypt
9080857,Poland
9331444,Kazakhstan,Kazakhstan
9355012,Romania
4942730,Indonesia,Indonesia
5997757,United States
3969890,Russian Federation
6305354,Canada
7012630,Canada
5526,United States
1957031,United Kingdom
235127,Nigeria,Nigeria
7218903,United States
9339637,Japan
3804185,India,India
8460366,Australia
2894757,Armenia
7389553,Morocco
1865392,Brazil
9736413,Russian Federation
9669657,United States
6278900,United States
3943005,United Kingdom
1701770,Bangladesh
7672390,United Kingdom
952050,United States
5813518,Peru
6994416,United States,United States,United States,United States
8376872,Pakistan
