Student ID,Courses
7158708,HarvardX/CS50x/2012
4794535,HarvardX/CS50x/2012
5333266,HarvardX/CS50x/2012
5333260,HarvardX/ER22x/2013_Spring
3646976,HarvardX/PH207x/2012_Fall
6012388,HarvardX/PH278x/2013_Spring
6965700,HarvardX/CS50x/2012
2618759,HarvardX/CS50x/2012
2491480,HarvardX/CS50x/2012
8588002,HarvardX/CS50x/2012
9590562,HarvardX/CS50x/2012
3026626,HarvardX/ER22x/2013_Spring
9727506,HarvardX/PH207x/2012_Fall
2450539,HarvardX/CS50x/2012
7926276,HarvardX/CS50x/2012
11545,HarvardX/PH207x/2012_Fall
4154186,HarvardX/CS50x/2012
4691297,HarvardX/CB22x/2013_Spring
3414802,HarvardX/CS50x/2012
8318833,HarvardX/CB22x/2013_Spring
2149091,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
9573741,HarvardX/AI12.1x/2013_SOND,HarvardX/AI12.2x/2013_SOND
9792590,HarvardX/CS50x/2012
3730409,HarvardX/ER22x/2013_Spring
6230330,HarvardX/PH207x/2012_Fall
439011,HarvardX/PH278x/2013_Spring
9446012,HarvardX/CS50x/2012,HarvardX/CS50x/2012
4281462,HarvardX/PH201x/2013_SOND,HarvardX/PH207x/2012_Fall,HarvardX/PH201x/2013_SOND,HarvardX/PH207x/2012_Fall
19394,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
2372867,HarvardX/CS50x/2012
3724926,HarvardX/CS50x/2012
2413653,HarvardX/PH207x/2012_Fall
1458700,HarvardX/CS50x/2012
4006454,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
7991334,HarvardX/PH278x/2013_Spring
1800604,HarvardX/PH207x/2012_Fall
4188254,HarvardX/CS50x/2012
5178991,HarvardX/SPU27x/2013_Oct,HarvardX/SPU27x/2013_Oct
6957452,HarvardX/CS50x/2012
2434373,HarvardX/PH207x/2012_Fall
6842359,HarvardX/CB22x/2013_Spring
4424922,HarvardX/ER22x/2013_Spring
6211861,HarvardX/CS50x/2012
3608671,HarvardX/PH207x/2012_Fall
2294793,HarvardX/CS50x/2012
4424925,HarvardX/CS50x/2012
498604,HarvardX/CS50x/2012
1897948,HarvardX/SPU27x/2013_Oct
8812127,HarvardX/CS50x/2012
4048309,HarvardX/CS50x/2012
1245493,HarvardX/PH207x/2012_Fall
6620438,HarvardX/CS50x/2012
7821899,HarvardX/CS50x/2012
4231012,HarvardX/CS50x/2012
3429813,HarvardX/CB22x/2013_Spring,HarvardX/CS50x/2012,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
1871989,HarvardX/SPU27x/2013_Oct
7225769,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
6362116,HarvardX/PH278x/2013_Spring
2750945,HarvardX/CS50x/2012
9037248,HarvardX/CB22x/2013_Spring
2062491,HarvardX/PH207x/2012_Fall,HarvardX/PH207x/2012_Fall,HarvardX/PH207x/2012_Fall
3731465,HarvardX/CS50x/2012
7753518,HarvardX/CS50x/2012
4130825,HarvardX/PH278x/2013_Spring
5152832,HarvardX/CS50x/2012
4427697,HarvardX/CS50x/2012
4361276,HarvardX/ER22x/2013_Spring
353407,HarvardX/PH207x/2012_Fall
1649502,HarvardX/CS50x/2012
9369338,HarvardX/CS50x/2012
7075301,HarvardX/CS50x/2012
2716394,HarvardX/AI12.2x/2013_SOND,HarvardX/CB22x/2013_Spring
2990521,HarvardX/PH278x/2013_Spring
177640,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
8444423,HarvardX/CS50x/2012
6697125,HarvardX/PH207x/2012_Fall
5310024,HarvardX/CS50x/2012
1788073,HarvardX/ER22x/2013_Spring
8522410,HarvardX/SPU27x/2013_Oct
6723692,HarvardX/ER22x/2013_Spring,HarvardX/GSE1x/2014_JFMA,HarvardX/SW12x/2013_SOND
4082615,HarvardX/CS50x/2012
3116770,HarvardX/CS50x/2012
6476297,HarvardX/CB22x/2013_Spring
6257166,HarvardX/PH207x/2012_Fall
3452112,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8299766,HarvardX/PH278x/2013_Spring
5206683,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
5581280,HarvardX/ER22x/2013_Spring
3245731,HarvardX/CS50x/2012
2012600,HarvardX/CS50x/2012
4817368,HarvardX/CS50x/2012
4202880,HarvardX/CS50x/2012
1302593,HarvardX/ER22x/2013_Spring
762279,HarvardX/PH207x/2012_Fall
1199078,HarvardX/ER22x/2013_Spring
7444810,HarvardX/CB22x/2013_Spring
1697497,HarvardX/CB22x/2013_Spring
9536180,HarvardX/CS50x/2012
7638133,HarvardX/CS50x/2012,HarvardX/CS50x/2012
7680078,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
7455061,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
6766666,HarvardX/CS50x/2012
1762510,HarvardX/PH207x/2012_Fall
7880828,HarvardX/SPU27x/2013_Oct
1132501,HarvardX/PH207x/2012_Fall
5957031,HarvardX/CS50x/2012
7317368,HarvardX/PH207x/2012_Fall
2662349,HarvardX/CS50x/2012
132270,HarvardX/PH207x/2012_Fall
6541500,HarvardX/SPU27x/2013_Oct
2146041,HarvardX/AI12.1x/2013_SOND,HarvardX/AI12.2x/2013_SOND,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/GSE1x/2014_JFMA,HarvardX/HDS1544.1x/2013_SOND,HarvardX/PH278x/2013_Spring,HarvardX/SW12x/2013_SOND
5433505,HarvardX/CB22x/2013_Spring
9333706,HarvardX/PH207x/2012_Fall
6910695,HarvardX/CS50x/2012
4342765,HarvardX/CS50x/2012
969328,HarvardX/CB22x/2013_Spring
1435204,HarvardX/CS50x/2012
5582390,HarvardX/CB22x/2013_Spring
1185924,HarvardX/CS50x/2012
586377,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall,HarvardX/SPU27x/2013_Oct
1909056,HarvardX/PH278x/2013_Spring
4167186,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
8134734,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
2522768,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
9832465,HarvardX/PH278x/2013_Spring
4097296,HarvardX/CS50x/2012
6279190,HarvardX/PH278x/2013_Spring
6099601,HarvardX/ER22x/2013_Spring
3102543,HarvardX/CB22x/2013_Spring
5543004,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
6136459,HarvardX/CS50x/2012
9879031,HarvardX/CS50x/2012
9909711,HarvardX/CS50x/2012
4696215,HarvardX/PH207x/2012_Fall
3300763,HarvardX/CS50x/2012
6509298,HarvardX/SPU27x/2013_Oct
279563,HarvardX/PH278x/2013_Spring
5334979,HarvardX/PH278x/2013_Spring
5529250,HarvardX/CS50x/2012
6745317,HarvardX/CS50x/2012
9976514,HarvardX/CS50x/2012
6925972,HarvardX/PH207x/2012_Fall
9262893,HarvardX/CB22x/2013_Spring
8992920,HarvardX/PH207x/2012_Fall
8942888,HarvardX/PH207x/2012_Fall
554370,HarvardX/CS50x/2012
4657075,HarvardX/CS50x/2012
8214768,HarvardX/CS50x/2012
7675112,HarvardX/SPU27x/2013_Oct
8985268,HarvardX/ER22x/2013_Spring
